ID;Domaine;Mode;Portée du lien;Discordance du support;Réponse affichée;Réponse historique du support;Documentation Microsoft;Question source
T1-Q11;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;No;No;https://learn.microsoft.com/en-us/entra/identity/role-based-access-control/permissions-reference;"Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result.

Establish if the solution satisfies the requirements.

Your company has an Azure Active Directory (Azure AD) tenant named weyland.com that is configured for hybrid coexistence with the on-

premises Active

Directory domain.

You have a server named DirSync1 that is configured as a DirSync server.

You create a new user account in the on-premise Active Directory. You now need to replicate the user information to Azure AD immediately.

Solution: You restart the NetLogon service on a domain controller.

Does the solution meet the goal?"
T1-Q12;Implémenter et gérer le stockage;Exercice avec correction comparée aux sources;scenario;Non;Read-only geo-redundant storage;Read-only geo-redundant storage;https://learn.microsoft.com/en-us/azure/storage/common/storage-redundancy;"Your company has a Microsoft Azure subscription.

The company has datacenters in Los Angeles and New York.

You are configuring the two datacenters as geo-clustered sites for site resiliency.

You need to recommend an Azure storage redundancy option.

You have the following data storage requirements:

✑ Data must be stored on multiple nodes.
✑ Data must be stored on nodes in separate geographic locations.
✑ Data can be read from the secondary location as well as from the primary location.
Which of the following Azure stored redundancy options should you recommend?"
T1-Q13;Implémenter et gérer le stockage;Fiche question/réponse du support;theme;Non;No;No;https://learn.microsoft.com/en-us/azure/azure-resource-manager/templates/deployment-modes;"Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result.

Establish if the solution satisfies the requirements.

Your company has an azure subscription that includes a storage account, a resource group, a blob container and a file share.

A colleague named Jon Ross makes use of a solitary Azure Resource Manager (ARM) template to deploy a virtual machine and an additional

Azure Storage account.

You want to review the ARM template that was used by Jon Ross.

Solution: You access the Virtual Machine blade.

Does the solution meet the goal?"
T1-Q14;Implémenter et gérer le stockage;Fiche question/réponse du support;theme;Non;Yes;Yes;https://learn.microsoft.com/en-us/azure/azure-resource-manager/templates/deployment-modes;"Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result.

Establish if the solution satisfies the requirements.

Your company has an azure subscription that includes a storage account, a resource group, a blob container and a file share.

A colleague named Jon Ross makes use of a solitary Azure Resource Manager (ARM) template to deploy a virtual machine and an additional

Azure Storage account.

You want to review the ARM template that was used by Jon Ross.

Solution: You access the Resource Group blade.

Does the solution meet the goal?"
T1-Q15;Implémenter et gérer le stockage;Fiche question/réponse du support;theme;Non;No;No;https://learn.microsoft.com/en-us/azure/azure-resource-manager/templates/deployment-modes;"Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result.

Establish if the solution satisfies the requirements.

Your company has an azure subscription that includes a storage account, a resource group, a blob container and a file share.

A colleague named Jon Ross makes use of a solitary Azure Resource Manager (ARM) template to deploy a virtual machine and an additional

Azure Storage account.

You want to review the ARM template that was used by Jon Ross.

Solution: You access the Container blade.

Does the solution meet the goal?"
T1-Q16;Déployer et gérer les ressources de calcul Azure;Fiche question/réponse du support;theme;Non;You should stop all three VMs.;You should stop all three VMs.;https://learn.microsoft.com/en-us/azure/virtual-machines/availability-set-overview;"Your company has three virtual machines (VMs) that are included in an availability set.

You try to resize one of the VMs, which returns an allocation failure message.

It is imperative that the VM is resized.

Which of the following actions should you take?"
T1-Q17;Déployer et gérer les ressources de calcul Azure;Fiche question/réponse du support;theme;Non;Detach the data disk;Detach the data disk;https://learn.microsoft.com/en-us/azure/virtual-machines/availability-set-overview;"You have an Azure virtual machine (VM) that has a single data disk. You have been tasked with attaching this data disk to another Azure VM.

You need to make sure that your strategy allows for the virtual machines to be offline for the least amount of time possible.

Which of the following is the action you should take FIRST?"
T1-Q18;Déployer et gérer les ressources de calcul Azure;Fiche question/réponse du support;theme;Non;Max Value;Max Value;https://learn.microsoft.com/en-us/azure/virtual-machines/availability-set-overview;"Your company has an Azure subscription.

You need to deploy a number of Azure virtual machines (VMs) using Azure Resource Manager (ARM) templates. You have been informed that the

VMs will be included in a single availability set.

You are required to make sure that the ARM template you configure allows for as many VMs as possible to remain accessible in the event of fabric

failure or maintenance.

Which of the following is the value that you should configure for the platformFaultDomainCount property?"
T1-Q19;Déployer et gérer les ressources de calcul Azure;Fiche question/réponse du support;theme;Non;20;20;https://learn.microsoft.com/en-us/azure/virtual-machines/availability-set-overview;"Your company has an Azure subscription.

You need to deploy a number of Azure virtual machines (VMs) using Azure Resource Manager (ARM) templates. You have been informed that the

VMs will be included in a single availability set.

You are required to make sure that the ARM template you configure allows for as many VMs as possible to remain accessible in the event of fabric

failure or maintenance.

Which of the following is the value that you should configure for the platformUpdateDomainCount property?"
T1-Q20;Déployer et gérer les ressources de calcul Azure;Exercice avec correction comparée aux sources;scenario;Non;Composant pour conserver le mot de passe : Azure Key Vault · Autorisation sur le coffre pour la lecture du secret lors du déploiement : Autoriser le déploiement de modèles ARM et accorder Microsoft.KeyVault/vaults/deploy/action;Composant pour conserver le mot de passe : Azure Key Vault · Autorisation sur le coffre pour la lecture du secret lors du déploiement : Autoriser le déploiement de modèles ARM et accorder Microsoft.KeyVault/vaults/deploy/action;https://learn.microsoft.com/en-us/azure/azure-resource-manager/templates/template-tutorial-use-key-vault;Vous déployez des VM par modèle ARM et voulez transmettre le mot de passe administrateur sans le conserver en clair. Quel composant stocke le secret et quelle autorisation active sa lecture au déploiement ?
T1-Q21;Déployer et gérer les ressources de calcul Azure;Fiche question/réponse du support;theme;Oui;Configure a SetupComplete.cmd batch file in the %windir%\setup\scripts directory.;Configure a SetupComplete.cmd batch file in the %windir%\setup\scripts directory.;https://learn.microsoft.com/fr-fr/windows-hardware/manufacture/desktop/add-a-custom-script-to-windows-setup?view=windows-11;"Your company has an Azure Active Directory (Azure AD) tenant that is configured for hybrid coexistence with the on-premises Active Directory

domain.

The on-premise virtual environment consists of virtual machines (VMs) running on Windows Server 2012 R2 Hyper-V host servers.

You have created some PowerShell scripts to automate the configuration of newly created VMs. You plan to create several new VMs.

You need a solution that ensures the scripts are run on the new VMs.

Which of the following is the best solution?"
T1-Q22;Déployer et gérer les ressources de calcul Azure;Fiche question/réponse du support;theme;Non;Add-AzVhd;Add-AzVhd;https://learn.microsoft.com/en-us/azure/virtual-machines/availability-set-overview;"Your company has an Azure Active Directory (Azure AD) tenant that is configured for hybrid coexistence with the on-premises Active Directory

domain.

You plan to deploy several new virtual machines (VMs) in Azure. The VMs will have the same operating system and custom software

requirements.

You configure a reference VM in the on-premise virtual environment. You then generalize the VM to create an image.

You need to upload the image to Azure to ensure that it is available for selection when you create the new Azure VMs.

Which PowerShell cmdlets should you use?"
T1-Q23;Déployer et gérer les ressources de calcul Azure;Exercice avec correction comparée aux sources;scenario;Non;Coffre hébergeant la configuration Site Recovery : Azure Recovery Services vault · Source Hyper-V à inscrire : Hyper-V site · Paramètres de réplication : Replication policy;Coffre hébergeant la configuration Site Recovery : Azure Recovery Services vault · Source Hyper-V à inscrire : Hyper-V site · Paramètres de réplication : Replication policy;https://learn.microsoft.com/en-us/azure/site-recovery/hyper-v-azure-powershell-resource-manager;"Your company has an Azure subscription that includes a number of Azure virtual machines (VMs), which are all part of the same virtual network.

Your company also has an on-premises Hyper-V server that hosts a VM, named VM1, which must be replicated to Azure.

Which of the following objects that must be created to achieve this goal? Answer by dragging the correct option from the list to the answer area."
T1-Q24;Implémenter et gérer les réseaux virtuels;Fiche question/réponse du support;theme;Non;No;No;https://learn.microsoft.com/en-us/azure/virtual-network/virtual-network-peering-overview;"Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result.

Establish if the solution satisfies the requirements.

Your company's Azure subscription includes two Azure networks named VirtualNetworkA and VirtualNetworkB.

VirtualNetworkA includes a VPN gateway that is configured to make use of static routing. Also, a site-to-site VPN connection exists between your

company's on- premises network and VirtualNetworkA.

You have configured a point-to-site VPN connection to VirtualNetworkA from a workstation running Windows 10. After configuring virtual network

peering between

VirtualNetworkA and VirtualNetworkB, you confirm that you are able to access VirtualNetworkB from the company's on-premises network.

However, you find that you cannot establish a connection to VirtualNetworkB from the Windows 10 workstation.

You have to make sure that a connection to VirtualNetworkB can be established from the Windows 10 workstation.

Solution: You choose the Allow gateway transit setting on VirtualNetworkA.

Does the solution meet the goal?"
T1-Q25;Implémenter et gérer les réseaux virtuels;Fiche question/réponse du support;theme;Non;No;No;https://learn.microsoft.com/en-us/azure/virtual-network/virtual-network-peering-overview;"Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result.

Establish if the solution satisfies the requirements.

Your company's Azure subscription includes two Azure networks named VirtualNetworkA and VirtualNetworkB.

VirtualNetworkA includes a VPN gateway that is configured to make use of static routing. Also, a site-to-site VPN connection exists between your

company's on- premises network and VirtualNetworkA.

You have configured a point-to-site VPN connection to VirtualNetworkA from a workstation running Windows 10. After configuring virtual network

peering between

VirtualNetworkA and VirtualNetworkB, you confirm that you are able to access VirtualNetworkB from the company's on-premises network.

However, you find that you cannot establish a connection to VirtualNetworkB from the Windows 10 workstation.

You have to make sure that a connection to VirtualNetworkB can be established from the Windows 10 workstation.

Solution: You choose the Allow gateway transit setting on VirtualNetworkB.

Does the solution meet the goal?"
T1-Q26;Implémenter et gérer les réseaux virtuels;Fiche question/réponse du support;theme;Non;Yes;Yes;https://learn.microsoft.com/en-us/azure/virtual-network/virtual-network-peering-overview;"Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result.

Establish if the solution satisfies the requirements.

Your company's Azure subscription includes two Azure networks named VirtualNetworkA and VirtualNetworkB.

VirtualNetworkA includes a VPN gateway that is configured to make use of static routing. Also, a site-to-site VPN connection exists between your

company's on- premises network and VirtualNetworkA.

You have configured a point-to-site VPN connection to VirtualNetworkA from a workstation running Windows 10. After configuring virtual network

peering between

VirtualNetworkA and VirtualNetworkB, you confirm that you are able to access VirtualNetworkB from the company's on-premises network.

However, you find that you cannot establish a connection to VirtualNetworkB from the Windows 10 workstation.

You have to make sure that a connection to VirtualNetworkB can be established from the Windows 10 workstation.

Solution: You download and re-install the VPN client configuration package on the Windows 10 workstation.

Does the solution meet the goal?"
T1-Q27;Déployer et gérer les ressources de calcul Azure;Fiche question/réponse du support;theme;Non;Configure a Point-to-Site (P2S) VPN.;Configure a Point-to-Site (P2S) VPN.;https://learn.microsoft.com/en-us/azure/vpn-gateway/vpn-gateway-about-vpngateways;"Your company has virtual machines (VMs) hosted in Microsoft Azure. The VMs are located in a single Azure virtual network named VNet1.

The company has users that work remotely. The remote workers require access to the VMs on VNet1.

You need to provide access for the remote workers.

What should you do?"
T1-Q28;Déployer et gérer les ressources de calcul Azure;Fiche question/réponse du support;theme;Non;"No
No, the solution does not meet the goal.";"No
No, the solution does not meet the goal.";https://learn.microsoft.com/en-us/azure/load-balancer/load-balancer-custom-probe-overview;"Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result.

Establish if the solution satisfies the requirements.

Your company has a Microsoft SQL Server Always On availability group configured on their Azure virtual machines (VMs).

You need to configure an Azure internal load balancer as a listener for the availability group.

Solution: You create an HTTP health probe on port 1433.

Does the solution meet the goal?"
T1-Q29;Déployer et gérer les ressources de calcul Azure;Fiche question/réponse du support;theme;Non;No;No;https://learn.microsoft.com/en-us/azure/load-balancer/load-balancer-custom-probe-overview;"Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result.

Establish if the solution satisfies the requirements.

Your company has a Microsoft SQL Server Always On availability group configured on their Azure virtual machines (VMs).

You need to configure an Azure internal load balancer as a listener for the availability group.

Solution: You set Session persistence to Client IP.

Does the solution meet the goal?"
T1-Q30;Déployer et gérer les ressources de calcul Azure;Fiche question/réponse du support;theme;Non;Yes;Yes;https://learn.microsoft.com/en-us/azure/load-balancer/load-balancer-custom-probe-overview;"Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result.

Establish if the solution satisfies the requirements.

Your company has a Microsoft SQL Server Always On availability group configured on their Azure virtual machines (VMs).

You need to configure an Azure internal load balancer as a listener for the availability group.

Solution: You enable Floating IP.

Does the solution meet the goal?"
T1-Q31;Déployer et gérer les ressources de calcul Azure;Exercice avec correction comparée aux sources;scenario;Non;Dans la configuration IP de chaque interface réseau Azure;Dans la configuration IP de chaque interface réseau Azure;https://learn.microsoft.com/en-us/powershell/module/az.network/set-aznetworkinterfaceipconfig?view=azps-15.6.0;Deux VM Azure ont besoin d’adresses IP privées fixes sur leur sous-réseau. Où fixer chaque adresse ?
T1-Q32;Implémenter et gérer les réseaux virtuels;Fiche question/réponse du support;theme;Non;5;5;https://learn.microsoft.com/en-us/azure/virtual-machines/availability-set-overview;"Your company has an Azure Active Directory (Azure AD) subscription.

You need to deploy five virtual machines (VMs) to your company's virtual network subnet.

The VMs will each have both a public and private IP address. Inbound and outbound security rules for all of these virtual machines must be

identical.

Which of the following is the least amount of network interfaces needed for this configuration?"
T1-Q33;Implémenter et gérer les réseaux virtuels;Fiche question/réponse du support;theme;Non;1;1;https://learn.microsoft.com/en-us/azure/virtual-machines/availability-set-overview;"Your company has an Azure Active Directory (Azure AD) subscription.

You need to deploy five virtual machines (VMs) to your company's virtual network subnet.

The VMs will each have both a public and private IP address. Inbound and outbound security rules for all of these virtual machines must be

identical.

Which of the following is the least amount of security groups needed for this configuration?"
T1-Q34;Déployer et gérer les ressources de calcul Azure;Fiche question/réponse du support;theme;Non;You can recover the files to any VM within the company’s subscription.;You can recover the files to any VM within the company’s subscription.;https://learn.microsoft.com/en-us/azure/backup/backup-azure-arm-restore-vms;"Your company's Azure subscription includes Azure virtual machines (VMs) that run Windows Server 2016.

One of the VMs is backed up every day using Azure Backup Instant Restore.

When the VM becomes infected with data encrypting ransomware, you decide to recover the VM's files.

Which of the following is TRUE in this scenario?"
T1-Q35;Déployer et gérer les ressources de calcul Azure;Fiche question/réponse du support;theme;Non;You should restore the VM to a new Azure VM.;You should restore the VM to a new Azure VM.;https://learn.microsoft.com/en-us/azure/backup/backup-azure-arm-restore-vms;"Your company's Azure subscription includes Azure virtual machines (VMs) that run Windows Server 2016.

One of the VMs is backed up every day using Azure Backup Instant Restore.

When the VM becomes infected with data encrypting ransomware, you are required to restore the VM.

Which of the following actions should you take?"
T1-Q36;Gérer les identités et la gouvernance Azure;Exercice avec correction comparée aux sources;scenario;Non;Azure Monitor;Azure Monitor;https://learn.microsoft.com/en-us/azure/azure-monitor/logs/log-query-overview;"You administer a solution in Azure that is currently having performance issues.

You need to find the cause of the performance issues pertaining to metrics on the Azure infrastructure.

Which of the following is the tool you should use?"
T1-Q37;Surveiller et maintenir les ressources Azure;Fiche question/réponse du support;theme;Non;VMs that run Windows 10. + VMs that run Windows Server 2012 or higher. + VMs that have NOT been shut down. + VMs that run Debian 8.2+. + VMs that have been shut down.;VMs that run Windows 10. + VMs that run Windows Server 2012 or higher. + VMs that have NOT been shut down. + VMs that run Debian 8.2+. + VMs that have been shut down.;https://learn.microsoft.com/en-us/azure/backup/backup-support-matrix-iaas;"Your company has an Azure subscription that includes a Recovery Services vault.

You want to use Azure Backup to schedule a backup of your company's virtual machines (VMs) to the Recovery Services vault.

Which of the following VMs can you back up? Choose all that apply."
T1-Q38;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;"No
Guest Means Invited User
And Created User will be member";"No
Guest Means Invited User
And Created User will be member";https://learn.microsoft.com/en-us/entra/identity/role-based-access-control/permissions-reference;"Note: This question is part of a series of questions that present the same scenario. Each question in the series contains a unique solution that

might meet the stated goals. Some question sets might have more than one correct solution, while others might not have a correct solution.

After you answer a question in this section, you will NOT be able to return to it. As a result, these questions will not appear in the review screen.

You have an Azure Active Directory (Azure AD) tenant named contoso.com.

You have a CSV file that contains the names and email addresses of 500 external users.

You need to create a guest user account in contoso.com for each of the 500 external users.

Solution: You create a PowerShell script that runs the New-AzureADUser cmdlet for each user.

Does this meet the goal?"
T1-Q39;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;"No
Bulk Invite User will work for it";"No
Bulk Invite User will work for it";https://learn.microsoft.com/en-us/entra/identity/role-based-access-control/permissions-reference;"Note: This question is part of a series of questions that present the same scenario. Each question in the series contains a unique solution that

might meet the stated goals. Some question sets might have more than one correct solution, while others might not have a correct solution.

After you answer a question in this section, you will NOT be able to return to it. As a result, these questions will not appear in the review screen.

You have an Azure Active Directory (Azure AD) tenant named contoso.com.

You have a CSV file that contains the names and email addresses of 500 external users.

You need to create a guest user account in contoso.com for each of the 500 external users.

Solution: From Azure AD in the Azure portal, you use the Bulk create user operation.

Does this meet the goal?"
T1-Q40;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;Yes;Yes;https://learn.microsoft.com/en-us/entra/identity/role-based-access-control/permissions-reference;"Note: This question is part of a series of questions that present the same scenario. Each question in the series contains a unique solution that

might meet the stated goals. Some question sets might have more than one correct solution, while others might not have a correct solution.

After you answer a question in this section, you will NOT be able to return to it. As a result, these questions will not appear in the review screen.

You have an Azure Active Directory (Azure AD) tenant named contoso.com.

You have a CSV file that contains the names and email addresses of 500 external users.

You need to create a guest user account in contoso.com for each of the 500 external users.

Solution: You create a PowerShell script that runs the New-AzureADMSInvitation cmdlet for each external user.

Does this meet the goal?"
T2-Q1;Implémenter et gérer les réseaux virtuels;Exercice avec correction comparée aux sources;scenario;Non;Ajouter un backend pool à LB1 : Network Contributor on LB1 · Ajouter une health probe à LB2 : Network Contributor on LB2;Ajouter un backend pool à LB1 : Network Contributor on LB1 · Ajouter une health probe à LB2 : Network Contributor on LB2;https://learn.microsoft.com/en-us/azure/role-based-access-control/built-in-roles;"You have an Azure subscription named Subscription1 that contains a resource group named RG1.

In RG1, you create an internal load balancer named LB1 and a public load balancer named LB2.

You need to ensure that an administrator named Admin1 can manage LB1 and LB2. The solution must follow the principle of least privilege.

Which role should you assign to Admin1 for each task? To answer, select the appropriate options in the answer area.

NOTE: Each correct selection is worth one point."
T2-Q2;Déployer et gérer les ressources de calcul Azure;Exercice avec correction comparée aux sources;scenario;Non;Exécuter az aks update --enable-aad pour AKS1;Exécuter az aks update --enable-aad pour AKS1;https://learn.microsoft.com/en-us/azure/aks/enable-authentication-microsoft-entra-id;AKS1 existe déjà sans authentification Microsoft Entra. Vous voulez permettre l’authentification des utilisateurs du tenant contoso.com. Quelle action permet d’activer cette intégration sur le cluster existant ?
T2-Q3;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;"a Microsoft 365 group that uses the Dynamic User membership type || a Microsoft 365 group tha
t uses the Assigned membership type";"a Microsoft 365 group that uses the Dynamic User membership type || a Microsoft 365 group tha
t uses the Assigned membership type";https://learn.microsoft.com/en-us/entra/identity/role-based-access-control/permissions-reference;"You have a Microsoft 365 tenant and an Azure Active Directory (Azure AD) tenant named contoso.com.

You plan to grant three users named User1, User2, and User3 access to a temporary Microsoft SharePoint document library named Library1.

You need to create groups for the users. The solution must ensure that the groups are deleted automatically after 180 days.

Which two groups should you create? Each correct answer presents a complete solution.

NOTE: Each correct selection is worth one point."
T2-Q4;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;Ligne 1 du tableau : Non · Ligne 2 du tableau : Non · Ligne 3 du tableau : Oui;Ligne 1 du tableau : Non · Ligne 2 du tableau : Non · Ligne 3 du tableau : Oui;https://learn.microsoft.com/en-us/entra/identity/role-based-access-control/permissions-reference;"You have an Azure Active Directory (Azure AD) tenant named contoso.com that contains the users shown in the following table:

User3 is the owner of Group1.

Group2 is a member of Group1.

You configure an access review named Review1 as shown in the following exhibit:

For each of the following statements, select Yes if the statement is true. Otherwise, select No.

NOTE: Each correct selection is worth one point."
T2-Q5;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;Ligne 1 du tableau : Non · Ligne 2 du tableau : Non · Ligne 3 du tableau : Oui;Ligne 1 du tableau : Non · Ligne 2 du tableau : Non · Ligne 3 du tableau : Oui;https://learn.microsoft.com/en-us/azure/governance/policy/overview;"You have the Azure management groups shown in the following table:

You add Azure subscriptions to the management groups as shown in the following table:

You create the Azure policies shown in the following table:

For each of the following statements, select Yes if the statement is true. Otherwise, select No.

NOTE: Each correct selection is worth one point."
T2-Q6;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;You can create Azure SQL servers in ContosoRG1 only.;You can create Azure SQL servers in ContosoRG1 only.;https://learn.microsoft.com/en-us/azure/governance/policy/concepts/compliance-states;"You have an Azure policy as shown in the following exhibit:

What is the effect of the policy?"
T2-Q7;Implémenter et gérer les réseaux virtuels;Exercice avec correction comparée aux sources;scenario;Non;Balises de VNET1 sans tâche de remédiation : Department: D1 only · Balises de VNET2 créé après la règle : Label: Value1 only;Balises de VNET1 sans tâche de remédiation : Department: D1 only · Balises de VNET2 créé après la règle : Label: Value1 only;https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/tag-policies;"You have an Azure subscription that contains the resources shown in the following table:

You assign a policy to RG6 as shown in the following table:

To RG6, you apply the tag: RGroup: RG6.

You deploy a virtual network named VNET2 to RG6.

Which tags apply to VNET1 and VNET2? To answer, select the appropriate options in the answer area.

NOTE: Each correct selection is worth one point."
T2-Q8;Implémenter et gérer les réseaux virtuels;Fiche question/réponse du support;theme;Non;VM1, storage1, VNET1, and VM1Managed only;VM1, storage1, VNET1, and VM1Managed only;https://learn.microsoft.com/en-us/azure/role-based-access-control/role-assignments-portal;"You have an Azure subscription named AZPT1 that contains the resources shown in the following table:

You create a new Azure subscription named AZPT2.

You need to identify which resources can be moved to AZPT2.

Which resources should you identify?"
